,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,23.208333333333332,0.041792742809958885,0.024191117295244324,0.00032425421530479895,0.06352973527903498,0.008949459623455568,0.039554550178515335,0.2631205426989721,0.042609544312817854,0.1862474453327745,0.05835120647891402,0.007555972582703028,0.1067557210586252,0.016908022916208857,0.09304982662145392,0.011012845580620307,0.03819827411206237,0.003757423531128568,0.0635162820881328,0.040678415816615035,0.05371257822923039,0.04914534688541946,0.05387713441231785,0.009208172789785469,0.02270116007495844,0.08362803483323468,0.06417687411807747,0.00031240237425804435,0.0392421478042573,0.024361955322072915,0.0022223721429465745,0.0020301436303153835,0.023729267379960287,0.0009039647959247787,0.06467801644566366,0.010433135000000327,0.03866243722363732,0.00032425421530479895,0.053821843854534285,0.0009490589638208877,0.0107297168857614,0.0015975673944304855,0.014479257223293431,0.07655459080518277,0.015127765653903029,0.00032425421530479895,0.027879031129947773,0.055571171986281684,0.0009727626459143967,0.04148034043570084
std,2.4337578111499374,0.002877344370843086,0.000771924326742501,0.0005616247754762897,0.003215031887094392,0.001258383830930283,0.006361775577785192,0.01996792458293752,0.008350674802094626,0.006491754321337142,0.008537454986189297,0.0011708231419996808,0.012969988053472128,0.0021684785551153887,0.004994479491438038,0.0009013711962545873,0.0038523938534479173,0.002455766051867971,0.007964062822734055,0.004056294377103093,0.007514137335050535,0.007519109876955377,0.0048486612514193825,0.004639917099894734,0.003715441809703275,0.006822247051544728,0.010591057741712913,0.0005410967846200804,0.006534637921011307,0.001905356855401287,0.0019689217503496247,0.0011376084317831743,0.004545194349557006,9.013987504673544e-05,0.007919505457560832,0.0009558804510012113,0.0070211735280283965,0.0005616247754762897,0.006281027792948504,0.0009374319118672896,0.005065935281940375,0.001478710335435823,0.004115059048890295,0.004577233206505488,0.002991819296094688,0.0005616247754762897,0.005688341300678878,0.004308634298788899,0.001684874326428869,0.0027084906895714664
ratio,0.0021847018053410567,0.06884794290547105,0.031909411926759244,1.7320508075688774,0.050606725700545516,0.14061003500504038,0.16083549298560065,0.07588888491227458,0.19598132148018696,0.03485553484901824,0.14631154180632785,0.1549533338275875,0.12149220599006234,0.12825145588350126,0.053675322918726336,0.08184725642941565,0.1008525631850837,0.6535771204717945,0.1253861617983783,0.09971613435954667,0.1398953016737026,0.15299739148216612,0.08999478729349128,0.5038911851265158,0.16366748648240953,0.08157846905226446,0.1650291929492652,1.7320508075688774,0.16652090384059912,0.07821034191270176,0.8859550172992594,0.5603585947297959,0.1915438128273395,0.0997161343595467,0.12244508865255707,0.09161967625274484,0.1816019380106698,1.7320508075688774,0.11670034586560064,0.9877488624028292,0.4721406292334699,0.9256012238300384,0.2842037395585607,0.05979044703084752,0.19777007157185736,1.7320508075688774,0.204036548980658,0.07753362300605304,1.7320508075688774,0.0652957680945249
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
