,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
mean,22.677083333333332,0.0515862236521555,0.03722687553635589,0.07898600261630387,0.011059791654669115,0.0596878732032931,0.23161252429633736,0.04712554491073995,0.18639383213681046,0.06295642316552484,0.005655270166445724,0.10630831777925293,0.01665198192189954,0.06626885921422121,0.009071181485528951,0.02504639077161174,0.0005972463169059193,0.07889490968200058,0.04928892026207268,0.04417412958270939,0.05363968793760966,0.04097674600044598,0.00030458510258800245,0.011072557925389512,0.032158017266120116,0.07031629346309946,0.05816078863572593,0.0005244908221017381,0.058675429137338336,0.030873956790335968,0.0015664658974814448,0.003235758390971657,0.01934216602453712,0.03324467425067608,0.0068851029548134815,0.050976569664891724,0.0006131463138174478,0.05932570490560109,0.0035595681589445593,0.01058423204185816,0.0013374803014267432,0.02567835013723968,0.054200071083492764,0.01973017102444732,0.024353804352110115,0.07478485129721857,0.00040981900768640334,0.046396733011201695
std,3.96243521803737,0.00970374064785807,0.004818981382352372,0.009346724773810529,0.0031882800148648354,0.008942516767305859,0.02070022524466553,0.002365458938778704,0.006794078318537421,0.004524445622967672,0.003507329890763806,0.011592321500614254,0.008230623440716903,0.009370101757574918,0.003691925110411449,0.005008865317786439,0.0006797625712895825,0.007372738568588278,0.01041683292662098,0.007832978217132193,0.004834352683376068,0.005235775091123803,0.0005754997683880803,0.0029711743159054533,0.006444610567912909,0.005955327854059538,0.008489629737567379,0.0007789866352986906,0.009055408847474977,0.005645566358843189,0.0009176528401146824,0.0013461813586503476,0.005457941188050939,0.006738547254133201,0.004184910974083247,0.003909681633774509,0.0007268155022687933,0.0049684157372500365,0.0025600621593237388,0.002397749298593799,0.0009782884356990186,0.0046608313771720035,0.008687308992142977,0.004222193886950525,0.005353823945854512,0.009641222924256444,0.0006356952183046229,0.007835296410122322
ratio,0.003640271215468415,0.1881072108183404,0.12944898847732034,0.11833393847280516,0.2882766795628413,0.14982133367104936,0.08937437777838199,0.05019483473897431,0.03645012413045223,0.07186630681149107,0.6201878579689721,0.10904435083513857,0.4942729027283267,0.14139524761223152,0.4069949560926648,0.19998351712469575,1.1381611774705365,0.09345011735618128,0.2113422828342342,0.1773204880577471,0.09012641328187973,0.12777430133341525,1.8894547484370268,0.26833675975562193,0.20040447502037348,0.08469342681130898,0.14596827066324425,1.4852245310549714,0.1543305090496991,0.18285853015802428,0.5858109273812341,0.4160327181431203,0.2821783858709048,0.2026955416474313,0.6078211177884438,0.0766956595839198,1.1853867272619507,0.08374811129772107,0.7192058263839559,0.22653975169018045,0.7314413787294212,0.18150821031187267,0.16028224351884282,0.21399682150341606,0.21983522033963596,0.12891946372854554,1.5511608939111527,0.1688760372035381
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
