,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
mean,25.941666666666666,0.03746263415383884,0.03352301175677348,0.05836987421947211,0.017096155121641858,0.05248255813201717,0.2590178797782285,0.052047177797251806,0.1774002726305285,0.06391096731657632,0.009397145892110102,0.0957743365188408,0.007288046041532178,0.07819738080922145,0.008276898215954039,0.03361894365271593,0.004416513173735317,0.06686744593224984,0.036317713441632656,0.047493252887258544,0.05427968459844485,0.05973829888152845,0.00017137960582690659,0.00817385986029907,0.031208616821285656,0.08150216514558957,0.06451772810125411,0.00029006526468455405,0.05306323201649153,0.02648844141939369,0.0009360869089670149,0.002050988000759873,0.019851111268028125,0.0007735950673427863,0.04988018411705133,0.005910104492004584,0.04944432593892935,0.0609030047071911,0.004779331856493439,0.013433283103771485,0.0034623947816476287,0.01839537486530522,0.05324371958699139,0.01998129054384331,0.0001549186676994578,0.0011711792466347875,0.02178269617217929,0.06037763110677038,0.0006954928977208326,0.036349047652323885
std,2.0459351637929397,0.003265108957513953,0.004034597371460756,0.006728776568207136,0.0015534853557479275,0.0024451868254536085,0.009814970135649385,0.006212745955054784,0.005549499324215396,0.0052264474959088205,0.004729468961999667,0.007602375257943889,0.0034402876902717783,0.011709770472663708,0.0032767521880499163,0.005174449480060415,0.0015378937312419954,0.005927880350578778,0.0028408149992639148,0.008078580764614755,0.008406005662513087,0.015013402200358924,0.0003832164485860823,0.002755252792689393,0.005732283594664221,0.0032108567743336274,0.008509908027328867,0.0006486056497461318,0.0027018361453271427,0.0037451044387519154,0.0012726703990478848,0.0013755466329929006,0.004439901908904419,0.0007863263568799615,0.007834452998683242,0.0025307024759621427,0.006695290707995205,0.0039963412729081774,0.0019472649423040625,0.0011631864883244944,0.0017360800744433266,0.002405541237455529,0.0068046112396736224,0.002638284311571549,0.0003464086719596886,0.0017841984941876345,0.00319309990814056,0.009146928033913692,0.000952506090216573,0.003348840549234893
ratio,0.001643057471725779,0.08715641682071558,0.12035306972815613,0.11527824341212005,0.0908675280900666,0.04659046571820808,0.037893021686583865,0.1193675856788306,0.03128236074232725,0.0817770050329571,0.5032878084792274,0.07937799972593226,0.4720452739550093,0.1497463259189217,0.3958913233623981,0.1539146956404263,0.34821445578103044,0.08865121536995611,0.07822119649216018,0.17009954621958673,0.15486467404333307,0.2513195467807535,2.23606797749979,0.3370809923071745,0.1836763105359591,0.03939596903466288,0.13190030519942392,2.2360679774997894,0.05091729324907005,0.1413863646960335,1.359564359736955,0.6706751246147088,0.223660119020906,1.0164573044408178,0.15706543865793526,0.4281992779291421,0.13541069841390546,0.06561812987917016,0.4074345537773049,0.08658988866228255,0.5014102041874001,0.13076880765243468,0.12780119969935647,0.13203773328767618,2.23606797749979,1.5234205176656503,0.1465888282561993,0.15149531152917345,1.3695410741619165,0.09213007672900596
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
