,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
mean,19.13988095238095,0.05158579171814799,0.036607568745912936,0.08296408670542135,0.014717134355375024,0.05683617888386434,0.1979070614140403,0.05550858306658727,0.2043498098266788,0.05753300349423505,0.010303650335919224,0.122364022246758,0.006348035535100898,0.06633981923771765,0.012823961963773316,0.031009456792302364,8.126117341134406e-05,0.0012267568045923965,0.07698557626185464,0.05016471224457667,0.05435786468525551,0.059300204629614287,0.03843598503288415,0.00017810564792306193,0.0120782581352032,0.03523617925307675,0.0667281653867343,0.038470037333562926,0.00022954197207295448,0.05632350626194079,0.022613947297703645,0.003835375528569718,0.002636740015790001,0.015423554705873213,0.0006435161438887427,0.03392113237541018,0.0031895805197962265,0.048010279929711235,7.200460829493089e-05,0.05490101383841718,0.003936846959634918,0.010406920449326793,0.002312265327134425,0.02607110237959246,0.06652254257735736,0.020161660580181727,7.318501170960187e-05,0.00044554822117015547,0.024296872469839425,0.07497895608853845,0.00059214722818555,0.051325234165095324
std,2.367515599302909,0.006009320361439186,0.0073150208518183045,0.007386366357520335,0.005061687046698325,0.007367425067984146,0.012606069645295951,0.008988406609341389,0.015166955693718997,0.007661299781959113,0.0037740096407150423,0.011634709792198956,0.0018817953273071735,0.005599195101735981,0.0033758596444477635,0.0046057833344113975,0.00030405146975247385,0.001294748371034077,0.007205787964639169,0.005699723554353946,0.008613378425299517,0.008133642858668126,0.00821544200297425,0.0004530351361120336,0.004319685927289087,0.0029214961002882343,0.008749894328375434,0.009842182083518536,0.0005966791381501713,0.005765801191252238,0.0044839319036466575,0.0019798951895024625,0.0022671461915901125,0.00384785494799176,0.0007255370402164904,0.005750152010586503,0.002156671744305969,0.005830193329358032,0.0002694165745084924,0.006710674308463584,0.002283664302788868,0.004246818885109607,0.0018895531231715671,0.0061098474589535426,0.008495731837639341,0.004785742247210971,0.00027383323966436926,0.0006742027414512362,0.0076567155112210435,0.009745708200535478,0.0010749394080395384,0.0057329633814352295
ratio,0.0025769879015892345,0.11649177343778352,0.19982263511107914,0.08903088855479037,0.34393156469687897,0.129625622493699,0.06369691690243869,0.16192823006415116,0.07422055203566373,0.13316356380954095,0.3662788931761969,0.09508276680163816,0.2964374280676209,0.08440172382249342,0.2632462302979611,0.14852834621581362,3.741657386773943,1.0554238347707978,0.0935991949989409,0.11362017839482665,0.15845689441947272,0.13716045179726438,0.21374350093917133,2.543631498467335,0.35764146443426,0.0829118298923722,0.13112745236833576,0.2558402009901818,2.5994337016523104,0.10236935826469196,0.19828169954663252,0.5162193831488521,0.8598292505189771,0.24947912601020025,1.1274574027499893,0.16951533182762654,0.6761615613465539,0.12143635358705768,3.741657386773942,0.12223224744472325,0.5800744418575627,0.4080764243166986,0.8171869815274521,0.234353245597168,0.12771207335858928,0.2373684562428952,3.7416573867739418,1.5131981442559888,0.3151317323135148,0.1299792462971519,1.8153245626655283,0.11169872821221412
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
