,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,22.97321428571429,0.04344746948894684,0.04613580868028398,0.08594004680018029,0.014081846584147118,0.06410391605541267,0.1795887599076685,0.05533763153887557,0.1934592855200811,0.061906007258725027,0.003334562135821556,0.1332337465985504,0.003023892851086224,0.07782723944829763,0.011444395300698244,0.028595933430982486,0.00012564392511622062,0.07222926309245646,0.04150223689679737,0.04896022240605314,0.06073695673697031,0.0435221216525453,0.0003657399635315869,0.016255307299412144,0.040689424041724806,0.06604726900658593,0.040659235980764964,0.00012564392511622062,0.06316595353531226,0.033471562549685606,0.0022074308837550034,0.0031348320144649645,0.010673420854817723,0.000397001695717359,0.030056802356662794,0.002100398020020397,0.0473381051216424,0.00012035142616440005,0.059145408128582135,0.003100544073634689,0.013121518044549335,0.0004714898359429242,0.032042558769024884,0.04981713816452354,0.021060541706353075,0.0009249709731405248,0.03160532235934743,0.08161789012132299,0.00039761778182980983,0.04276974792475058
std,3.0349934951945143,0.006298643330805854,0.004736307764732634,0.0045062509277850275,0.00395507445585924,0.006148454564337466,0.013592179622168632,0.007141051816303834,0.004949434444399725,0.006463614607201878,0.0020122287189341614,0.010747502584531488,0.002355627473282365,0.008989148259460714,0.003125496409859215,0.008877094560168896,0.00033242257960354194,0.009609391216199524,0.006136917180597722,0.00758042674872041,0.007453122918283738,0.0040197550642524895,0.0006660621378693086,0.005360964108384371,0.0033788021365062358,0.00618597535945433,0.005090721672293707,0.00033242257960354194,0.005425544806751392,0.006064846927344629,0.0020168154350990964,0.0015852631582525768,0.002991003012675328,0.0006991327916080558,0.003977676522733695,0.0019477337520042548,0.0051185059119897465,0.0003184199435629546,0.005795974172463195,0.0020643367690890584,0.00505170435475485,0.0008054714554779893,0.005501625462176896,0.010347210941316836,0.00395470781552151,0.0010893103265881869,0.0069270597987811655,0.0072834811231496654,0.0005028465250284873,0.005989849873083064
ratio,0.0027522936217595027,0.14497146565482366,0.10266012236947486,0.05243482050065131,0.2808633393515119,0.09591386833563527,0.07568502410260387,0.1290451292857941,0.025583855699115417,0.10441013551703247,0.6034461608370649,0.08066651924842308,0.7790049414072961,0.11550131192090407,0.2731028007804416,0.31043206131368795,2.6457513110645903,0.1330401392009095,0.1478695520884392,0.15482827438674404,0.12271149755758265,0.09236119269055447,1.8211357912266664,0.32979777063816224,0.0830388292800964,0.09365982049670356,0.12520455806651215,2.6457513110645903,0.08589349963217603,0.18119401860435688,0.913648282236744,0.5056931762013859,0.2802290899384204,1.7610322554032511,0.13233864585904462,0.9273165054618264,0.10812654834486872,2.64575131106459,0.09799533650799644,0.6657982341367235,0.3849938961028464,1.7083538054794778,0.17169744469643433,0.20770384093812586,0.18777806718658813,1.1776697412348909,0.21917383787520373,0.08923878223662668,1.2646479810697149,0.14004875323608754
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
