,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
mean,17.079166666666666,0.058262033738292064,0.030814624870514833,0.0002306805074971165,0.06796952878469169,0.013217128907016578,0.04165814615600512,0.24516352410880604,0.05221731211932923,0.19024099689027532,0.05774093545461016,0.003815609270656962,0.10523766765884053,0.011372728062638816,0.09064877402325937,0.009852250781373802,0.033892830134917715,0.00023866348448687354,0.003280518132086507,0.0640118488908286,0.05515743407929387,0.05390665025639962,0.05605714921446172,0.0332038977124276,0.009431004845330887,0.027993783679145824,0.06873243943096821,0.055714227319881314,0.04281164066110199,0.025078521182420987,0.002664837069630868,0.0029429494997542677,0.019279506161758674,0.0004915079851189847,0.05432309866414538,0.004896221223775386,0.046077315078278926,0.00022805017103762827,0.053995962204730234,0.002529020407386318,0.014279701241257844,0.001701736388353918,0.015518656752537963,0.08123654958142988,0.018111277403505176,0.02088028152926209,0.06306486971353313,0.0018766203639494809,0.056538978755428376
std,1.2951398197792305,0.004212422775087392,0.00398291568249251,0.0005158172958477024,0.009868766691829038,0.007646287907292813,0.010444250230758694,0.006828527275068584,0.008675433052327569,0.0059396289684565855,0.004163371170960061,0.001609694200876146,0.0062213756788866035,0.007215617263026684,0.010773156184697012,0.003182676234398067,0.0046318453081212714,0.0005336677750596157,0.002178575374410917,0.010423703486822948,0.004390508087555782,0.009175256767155408,0.006864657208695198,0.008436704879860282,0.0028657230907937863,0.006201318876847619,0.01260404487580662,0.009255926194819065,0.010323460466390192,0.0048519433750086926,0.0012867349340270555,0.0007082906149692626,0.005358665211365125,0.000673491742897477,0.00747614360108675,0.003780281606805716,0.013241576800449805,0.0005099356847205905,0.005460872696317932,0.0018436493949262878,0.0041859948626044455,0.001980850533490237,0.0036619141961394814,0.008752036305749738,0.004199366485913087,0.007041446290508681,0.007642051672703155,0.002377979811229016,0.0033559012518076547
ratio,0.0015798241275667608,0.0723013342446854,0.12925407007967787,2.23606797749979,0.1451939842497733,0.5785135305167242,0.2507132744612816,0.02785294957678132,0.16614093487811282,0.031221603469006026,0.07210432491577601,0.4218708171340073,0.05911738465218611,0.6344667016818165,0.11884502907819527,0.3230405219094792,0.1366615089292695,2.23606797749979,0.664094904125794,0.16284021891947606,0.07959957095255779,0.17020639797714293,0.12245819319909765,0.25408778670892546,0.30386190419704345,0.22152485522946072,0.183378401525608,0.16613218274887814,0.24113676343569646,0.1934700750381448,0.48285688783415703,0.24067372376875784,0.27794618629776713,1.3702559536940937,0.13762365890260225,0.7720814550717564,0.2873773521298759,2.2360679774997894,0.1011348344087762,0.7289974369292083,0.2931430281265266,1.1640172632180152,0.2359685025922492,0.1077352047919868,0.23186473225242304,0.3372294708115234,0.12117763356075315,1.2671608264041154,0.05935553357488705
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
