,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,28.291666666666668,0.03615584914095013,0.02800750507795539,0.05734078131610487,0.012748292418441788,0.04144780092056888,0.2352798914715713,0.04740817007591735,0.19392695601820145,0.0732984150104078,0.00317063619882936,0.12644980782327864,0.01310740713102753,0.07503755949995115,0.013732855483028578,0.03205535979814054,0.004339146511664439,0.06629108741031255,0.034531100729723326,0.05262009763766228,0.05112891977066628,0.06316215238627608,0.003921335711039875,0.03556340054576978,0.0900462698390458,0.05117087283597621,0.041002140124805464,0.021939157454908008,0.001083588223796468,0.001965956506834087,0.02113755156889834,0.00021659085986571366,0.04944167172459327,0.00555440350628801,0.04307734294827425,0.0003252032520325203,0.06991471371925549,0.002512544235210886,0.013737015175039244,0.002841273254786173,0.0140580587350611,0.07542019099108667,0.031480288150156965,0.001083588223796468,0.01898863788348713,0.05123147069741872,0.0004415011037527594,0.03398451300134653
std,6.015640782807579,0.007812254310918427,0.0013968561592405274,0.002972423003435597,0.0044399397217584026,0.003168390200337664,0.0042610426959238746,0.00372999218628865,0.0017744837446237304,0.007949959439355482,0.0013597155971587528,0.013600743871614506,0.003620183719491967,0.00534098033122254,0.0005289124544609518,0.007174674550912191,0.0047901310007519605,0.006994769294144155,0.008115936884256972,0.004853643938873324,0.0044146260425575595,0.009395940793169437,0.0017109060252741065,0.005547085716754868,0.0022314810479808424,0.007189208246521769,0.002011807357264628,0.005000923713931162,0.0009933742721917828,0.0017287844364979096,0.002125748800081797,0.00037514637374244685,0.008670808064339723,0.001139315129323029,0.002274637188194461,0.0005632685553069518,0.006335952707817547,0.001067928595326951,0.00014760794646582974,0.0010326684212828862,0.0007242331173450432,0.008703720516633737,0.005783440039487653,0.0009933742721917828,0.006306816575341712,0.0012289604208708526,0.0007647023432975176,0.006203126887579376
ratio,0.004429779663334005,0.21607165912389714,0.04987435172653018,0.051837853186014325,0.3482772104705997,0.07644290239691147,0.018110526442667682,0.07867825694000856,0.00915026864267999,0.10846018209570628,0.4288462983109754,0.10755843844873517,0.2761937340698266,0.0711774259026377,0.03851438290562336,0.2238213701575228,1.1039339160074897,0.10551598363215288,0.235032672366306,0.09223935638232984,0.08634303369519497,0.14875903429806162,0.4363069503223945,0.15597737088206226,0.02478149346962986,0.140494149270546,0.04906591097784005,0.2279451124870981,0.9167451716219184,0.8793604693126646,0.1005674092930238,1.7320508075688774,0.17537449204062192,0.20511925862664407,0.05280356290604472,1.7320508075688772,0.09062402419696296,0.4250387238405441,0.01074527068544263,0.3634526948590175,0.05151729203825207,0.11540305589603138,0.18371623575684495,0.9167451716219184,0.33213633405617976,0.023988388467887048,1.7320508075688774,0.18252804997775304
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
