,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,16.208333333333332,0.060657701741186586,0.040447606851433865,0.07450447633396609,0.020759884439830786,0.05161369355844412,0.1985436859949908,0.05252797021018689,0.1972189559144816,0.04495744935405385,0.0037559875195063205,0.13561737151790446,0.007919622470231973,0.07204221146483511,0.01136684328278211,0.02770106708578204,0.00024906600249066,0.0014851839036886135,0.08379529966665906,0.05971934364521341,0.052314987477918434,0.05592619450795644,0.04296465104733034,0.009211475525821059,0.029830215570717997,0.0581213713819391,0.04619926253324098,0.00023866348448687354,0.05260232023991518,0.02488639705771267,0.0014899161757965446,0.002563669850993932,0.01715244667601946,0.0003322259136212625,0.030694111047081123,0.003923497748515964,0.052426252562463735,0.04204814495001027,0.004006707938732507,0.01217754419306358,0.003610886464153835,0.025820519340605908,0.06432604748041779,0.02143204636987801,0.00024906600249066,0.029132129902750162,0.07383133714522405,0.00022471910112359551,0.05794638872340265
std,2.2865947662408397,0.009193012443097157,0.0041970733239485225,0.01071807947638588,0.011815820668465263,0.0065919240995011745,0.010458675360599178,0.006859949586685798,0.009191200686628645,0.008231671568796398,0.0017035600154182734,0.019923494630838628,0.004636173312262304,0.01006827367431645,0.0023910445209324466,0.009671485072642969,0.0005569285124532476,0.002048915056214525,0.01078982611734937,0.009896992584227774,0.009835930752955637,0.0062873282240879565,0.0063931287884434656,0.003081598898696089,0.006485700007627996,0.009366660914157766,0.01192613908403763,0.0005336677750596157,0.0047695969417285424,0.009435081845797971,0.0010921098293291674,0.0012129212264487908,0.005172051382446305,0.0007428797267441162,0.0073542218044799325,0.0038631728691429033,0.006085348400373392,0.008851099902177497,0.002117500824957134,0.00278421730363679,0.0030038021717695078,0.0021016014217701178,0.005923035130838588,0.006433171956902704,0.0005569285124532476,0.0069517178364251345,0.007003364989586536,0.0005024871859550089,0.007889440631168847
ratio,0.002939067822931671,0.15155556803523104,0.10376567739507034,0.14385819488673565,0.5691660135542439,0.12771657374291362,0.052676947686279216,0.13059612924764089,0.046604042922801764,0.18309916792586328,0.4535584867018373,0.1469096061060901,0.5854033231620074,0.139755200036175,0.21035255448223464,0.3491376358424472,2.23606797749979,1.3795699314582015,0.12876409727361454,0.1657250729851421,0.1880136310289144,0.11242188529729978,0.14879973728637347,0.3345391180878605,0.21742048736632336,0.16115691511484884,0.25814565926147875,2.23606797749979,0.09067274827374104,0.37912606730165055,0.7330008540549601,0.4731191210048138,0.30153432219540205,2.2360679774997894,0.23959715898595105,0.9846247192582489,0.11607444940152738,0.2104991769006765,0.528488938384411,0.2286353684696707,0.8318738906883384,0.08139268595055306,0.09207833160651888,0.30016601522215364,2.23606797749979,0.2386271741761275,0.09485626646326513,2.2360679774997894,0.13615068695355229
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
