,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,17.494444444444444,0.05558780744210184,0.033756944967912685,7.6103500761035e-05,0.08152634501416887,0.021212936262993826,0.05200430417239952,0.1833868408231476,0.05779457088438857,0.20606042399817145,0.053908983955507535,0.009771705410239513,0.1280124596172475,0.0053313647895644346,0.06859693271487972,0.01101795532900363,0.02679648111531741,0.000711494893026167,7.788161993769471e-05,0.07790763484261737,0.05458720855000927,0.052817886923372366,0.06212525145518238,0.04680219820020429,0.010688502948183184,0.0359544184335832,0.06324587413605799,0.03704461815409482,0.0002623673724853603,0.051512912497588666,0.02350590903883164,0.0021458307289499,0.002643917260269325,0.01468240865708844,0.0005095480446780816,0.03152312231688855,0.00340928643892036,0.04280027125635215,0.050956956257092866,0.0021253772454888965,0.009439815538169766,7.936507936507938e-05,0.0028422253654351195,0.02342989087799336,0.06767265907370339,0.028248314887449687,0.0005333705392810209,0.02364706850544673,0.08263801357284546,0.0005837124749428405,0.055030250370143516
std,1.9873650165469625,0.005518525124342376,0.00770525283137705,0.00029474759103557204,0.008055723433151958,0.004321074508203819,0.011118241983518058,0.013461345280885472,0.006731869621483344,0.011955842993965684,0.009156369076187741,0.003682682586541526,0.01307758750727206,0.003197642262505101,0.009047124554444579,0.0017263018538611545,0.00435553716564419,0.000610552290822166,0.0003016342169943472,0.0103455202330676,0.005747114942557169,0.008443384639877323,0.00600626966258349,0.007725094951908869,0.003028169534754564,0.00813623430826659,0.008719914896001234,0.006905777440669185,0.0005440324123155996,0.010780639259132042,0.005687182289811414,0.0013423062042778665,0.0017670064379525586,0.0030514506013010157,0.0008085538737189942,0.006476740497206864,0.002505038458635909,0.009478368500436565,0.007394080900410723,0.0015751139854270795,0.002966298350343887,0.00030737963065138234,0.002721808424641812,0.005221192355545608,0.010460852232732376,0.008194341408037141,0.0007423422835745973,0.006768178503112324,0.009051366294833087,0.0010631023698392708,0.005469227320898364
ratio,0.0023666620552718677,0.09927581925389416,0.2282568176326737,3.8729833462074175,0.09881129138994166,0.20369997131146692,0.21379464950939372,0.07340409606525239,0.11647927337240167,0.05802105402865607,0.1698486672229758,0.37687204351069975,0.10215870819429268,0.599779303934358,0.1318881791996236,0.1566807817160815,0.16254138544909455,0.8581260340820344,3.872983346207418,0.13279212305657556,0.1052831807160836,0.15985843303665093,0.0966800056643064,0.16505837864417125,0.2833109135521441,0.22629303052964825,0.13787326074808415,0.1864178330018996,2.0735520852386307,0.20928032868723326,0.24194691983263525,0.6255415146071412,0.6683289467888118,0.20783038209659302,1.5868059590530192,0.2054599932106644,0.7347691382098113,0.22145580441922652,0.14510444586025525,0.7410985455736161,0.31423266041054504,3.872983346207416,0.9576328667466972,0.2228432211969728,0.1545801860887318,0.2900824860061925,1.391794688501672,0.2862163866761489,0.10953029850910323,1.8212774533272982,0.09938583386612528
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
