,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,18.28125,0.05661682381185014,0.027191130463290032,0.00036927621861152144,0.0579307051289718,0.015593726773749934,0.048288370935745055,0.2433905108601289,0.042869604987489186,0.19364429745782336,0.05279672396898147,0.005225840107361295,0.10044373211974013,0.013036295936231042,0.1033841385735411,0.012222651743054149,0.028250480445680955,0.0019237373117279735,0.07125220678386247,0.054629659657075655,0.05134773261428897,0.04721837405862708,0.0402826369724453,0.011629816156773429,0.027092328808281642,0.06987051951350343,0.06187765943373216,0.049274829033034914,0.020848760683512758,0.002509523965554605,0.0009084662610751084,0.02039078191789442,0.00031133250311332503,0.0676220050694974,0.006079962166808534,0.048915016304880564,0.0008913182206194543,0.04810749163259506,0.002846069908160602,0.008029611575839913,0.0019065892712723195,0.018867334424792447,0.07781834984266052,0.019384211883822958,0.0006922736346321932,0.016368776714334458,0.05409942434385623,0.00031133250311332503,0.05621873463987562
std,5.375444103100278,0.011504236721310368,0.007135964657722553,0.0007385524372230429,0.0055504702449607245,0.004789650271567639,0.003509572166342839,0.015501372525241175,0.005041322189091108,0.012070154977904944,0.004991260227929746,0.0012600044643942213,0.010860353461785304,0.0036381692446459477,0.008567863528855869,0.002373008063122086,0.010510359992085673,0.0006612295210789293,0.007699930041905815,0.01269848375221427,0.0029138319361105697,0.0030986159211507072,0.00857957724517935,0.00629242079779884,0.006220170621419228,0.008017182757734746,0.006893020262098741,0.002082191211488,0.008933656990448709,0.0022711423543035013,0.0011481438133251972,0.004470206423555407,0.0006226650062266501,0.0031990028539216897,0.002460619149985148,0.0056601664715271605,0.0006600968050090339,0.007417424770141266,0.002304118848927148,0.004048609517230436,0.0018114506366784782,0.0036506863684669616,0.006318621654829951,0.0022473810166157415,0.0008029331564917494,0.004942946417112219,0.009306476260012393,0.0006226650062266501,0.012246589357564962
ratio,0.006125862225755303,0.2031946680644152,0.26243721890697463,2.0,0.0958122334710694,0.3071523787136254,0.07267944845380793,0.06368930518474268,0.1175966559655107,0.06233157979017628,0.09453730937666048,0.2411104125859757,0.10812375478878616,0.27907998272228457,0.08287406218277109,0.19414838228297,0.3720418140248847,0.3437213163396971,0.1080658465114337,0.2324466934614988,0.056747041938512266,0.0656230965789592,0.21298449878164813,0.5410593523556272,0.2295915816405503,0.11474342560434685,0.11139755971993116,0.042256690735386494,0.42849822711589103,0.9050092310242508,1.2638265861039757,0.2192268271788278,2.0,0.04730712806628504,0.40470961536867,0.1157142918290801,0.7405848884703325,0.15418440077461065,0.8095791471321541,0.5042098835032309,0.9501000891868268,0.1934924290985064,0.08119706557136529,0.11593873561046282,1.1598493952732285,0.3019740878243873,0.17202542121077627,2.0,0.2178382248553586
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
