,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,27.48611111111111,0.03888060451122357,0.03199666845698184,0.08348251514447251,0.008787815774715338,0.07283998474340113,0.18387997993957408,0.045733523262421284,0.1956626779334203,0.06895060472250301,0.010392583128262552,0.13851412736591265,0.005309266752883501,0.06885432802206498,0.01486628050717442,0.03395170745286337,0.0015294184366878947,0.07151395797170264,0.035123314907543016,0.045159391796946384,0.05099460347854903,0.0497673665205132,0.00025464731347084286,0.007089611019742023,0.035515212304320955,0.06161992757934193,0.0429784024235604,0.0007278020378457059,0.07208129884215166,0.030584780690097926,0.0027800962915270643,0.003058836873375789,0.013929830765176256,0.0007518953062235876,0.033071020653861645,0.0033082281476835805,0.06320980899968827,0.06493341176618855,0.001816484169425346,0.00940859922108317,0.0005160852219675749,0.02238314301504643,0.059089452374836385,0.030229156635527044,0.0007518953062235876,0.02706637028239905,0.0713308417187174,0.000970402717127608,0.03763671725141029
std,1.0479670575469935,0.00206434848454311,0.006479607946100351,0.007108085771058847,0.002521110915161276,0.008698906290406112,0.0023684873318526797,0.006791230026799514,0.007611224602123479,0.011462834807264346,0.0018733101273093738,0.006471154600892289,0.0020302140279581885,0.005235071869464984,0.0036948458839637576,0.005310420327287542,0.0007827487520623746,0.006576586350607427,0.0001804854378033858,0.009485765276578757,0.006710610860913388,0.001300615865497404,0.0004410620849424185,0.0006725323149082912,0.00993725935135134,0.009894139224257328,0.0014992384483175367,0.0012605901074009295,0.00868860237611043,0.0015636045949246995,0.00043769889476584826,0.0015654975041247492,0.0013623874045840833,0.0007642268331504109,0.0010427158166250138,0.0009754549023642027,0.0039681116426310324,0.011419458877075298,0.0019766493669558767,0.0024795345158154978,0.00044705896664400265,0.006199982308278585,0.007508559084460586,0.003533946253172342,0.0007642268331504109,0.003455076012729345,0.007663784410501077,0.0016807868098679065,0.0015011594503301824
ratio,0.0007943156070341034,0.05309455731191627,0.2025088316557678,0.08514460493622877,0.2868870922869275,0.11942487798494746,0.012880615565821808,0.1484956666870184,0.03889972621510072,0.1662470525588195,0.18025452423035435,0.04671837251515469,0.3823906619224895,0.07603112280447147,0.2485386901034617,0.15641099448857554,0.5117950282837531,0.09196227613649516,0.0051386219745626896,0.2100507756887056,0.13159452967873786,0.026133909757136014,1.7320508075688776,0.09486166632210566,0.2798028987184831,0.16056719981563786,0.03488353135005471,1.7320508075688774,0.1205389264022184,0.05112361637534741,0.15744019230550715,0.5117950282837531,0.09780358624240937,1.0164005903810711,0.031529592858309856,0.2948572041644757,0.06277683330210035,0.17586414399715122,1.0881731865470643,0.2635391791648705,0.8662502773080585,0.27699337417050063,0.12707105553846956,0.11690522153102495,1.0164005903810711,0.12765198941271194,0.10743998284391587,1.7320508075688774,0.03988550436804986
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
