,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,22.0625,0.048343774958033686,0.040353701854970316,0.08118482890781102,0.01401955605856019,0.05423713596961618,0.17140618082062692,0.05645682368454824,0.1950551157087516,0.0664340268901452,0.010216633204033205,0.1423047365620585,0.008180059371373775,0.06762783152267754,0.011224893979849871,0.032004291714604144,0.00011230907457322551,0.00011210762331838565,0.00012651821862348178,0.08059792942223873,0.04687264629985487,0.05114668631241152,0.06255000963787359,0.04766249445973958,0.00034389295830675637,0.011596360500988995,0.030367456116890783,0.06308982396652213,0.037907273329814604,0.0002224506821691456,0.05317067293933268,0.026214302576824347,0.0011778089195180086,0.003029652080573228,0.014277332667151591,0.0005874327212368089,0.028135973733654788,0.004198949441978804,0.04064715191899087,0.00011210762331838565,0.061617090405808726,0.0013708431849309287,0.011406393577085078,0.001204791895515332,0.029149555754134186,0.06248147108611225,0.024557395930000125,0.0009167136329836293,0.033919578272877636,0.07779443382592169,0.00024253135689851767,0.04785067215737261
std,3.6876092935108105,0.007922530484419845,0.0054094568404678646,0.013266978975018431,0.00504846515364165,0.009262988029857516,0.012201823712901582,0.004956368634784374,0.013168257769068391,0.008597410836713,0.004128125317121493,0.0036744884921715406,0.006196010274492517,0.0064966850784146345,0.0043396684817242496,0.007302551662545826,0.0003176580328780537,0.00031708824268455044,0.00035784756132922453,0.006501320754301211,0.007146966238847159,0.006135204383591074,0.004943343212220469,0.005646992293241719,0.0006754266185682005,0.0021642545626423698,0.006555925760015247,0.009748737345882486,0.0051615335033118786,0.0004170575453918982,0.009139902137665835,0.010581226204877085,0.0009758602394152664,0.0012125973409835304,0.003164165325190621,0.0008445868035870084,0.004597520834681536,0.0034493494998868238,0.008402622905495908,0.00031708824268455044,0.008775776650568253,0.0010875654556506595,0.0033443917927944073,0.0006084183699142363,0.004319541651696785,0.011070470578849072,0.004874286783624797,0.0006428578843853455,0.00486798357011001,0.009460902225708565,0.00045819527030747784,0.007623904517530889
ratio,0.0034821617502462806,0.1638790204384586,0.13405106822440352,0.16341697277065986,0.3601016417748201,0.1707868209532058,0.07118660280792641,0.08779042658294094,0.06751044555391565,0.12941276088727266,0.4040592663629972,0.02582126625538646,0.7574529710842363,0.09606525792914282,0.38661108866725263,0.22817413763334554,2.8284271247461903,2.82842712474619,2.8284271247461903,0.08066362003224556,0.15247626927497135,0.11995311575253065,0.07903025500458613,0.11847874009220652,1.9640606248346395,0.1866322250380015,0.21588656405001774,0.15452154932395346,0.13616208843098876,1.8748314966945283,0.17189743203164634,0.4036432468064887,0.8285386731615304,0.4002431001100628,0.22162160110414314,1.4377592072310426,0.16340365107684973,0.8214791693851112,0.20672107414173085,2.82842712474619,0.14242439220630498,0.7933551172050781,0.29320326097752203,0.5049987239945654,0.14818550540291364,0.17718005652574498,0.1984854907873277,0.7012635803102818,0.14351545089823506,0.12161412790636082,1.8892207431107568,0.1593270099207213
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
