,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,50.267857142857146,0.024113734165714586,0.03246574281357277,0.0742636559741872,0.013598438483065705,0.07568855927001461,0.203540943589598,0.05052838762013692,0.2038793123623158,0.0671503646564001,0.0056303487025294715,0.12649169579184946,0.0072000789772947845,0.06790538406096161,0.01086574826110248,0.032863071156695615,0.0006873011780921219,0.06303837491222455,0.02247554995846334,0.052965672100876514,0.060321977956035513,0.052352437390719424,6.0150375939849636e-05,0.006922258691391626,0.03902662553472188,0.06995278574896882,0.0514533136016397,0.07401812285319312,0.023698817654742747,0.0016202967567501868,0.0028125373744739357,0.01685974807487615,0.00034113477010010976,0.036120265902445416,0.0036421245586631358,0.0700701635451449,0.00010729015583384516,0.06039683427150524,0.0017959500249338188,0.01225712698813658,6.0150375939849636e-05,0.002078869438938672,0.019206341375587025,0.06106001573407751,0.0278217688103918,0.0017917255358770832,0.028000075776146428,0.06889989477958207,0.0007380322161728468,0.023617446159616032
std,6.02933881841961,0.0025458301337426817,0.004326327279578971,0.0032842799027907035,0.0016025602399791848,0.0019644012012510078,0.015499510662048197,0.00351745039505821,0.0062013730622489886,0.002842120309691072,0.002380712841219284,0.006704880448323108,0.0018311063667602171,0.003049146670088629,0.0015001705461305625,0.003520505073465689,0.0006483005535349511,0.007938641397302305,0.002162633558545132,0.004787548061295839,0.004505783407376697,0.0029885569859136856,0.00015914293600388516,0.0014538160744615276,0.00440985459285136,0.005210576528145534,0.006791179451470953,0.002162938014357146,0.0035984550494367416,0.001114879177003797,0.0016342880068232445,0.0036467596442547397,0.00036355683403251104,0.0031513339437879147,0.0010534977274099155,0.003453607510877727,0.00018399699746934447,0.003807082319086437,0.0009076196591986805,0.00351490109014497,0.00015914293600388516,0.0010147523927232134,0.0024176936689402065,0.00612282496526996,0.0035086618146135265,0.0008092690926358988,0.003747653289974978,0.004981337155194388,0.0004949837462564569,0.0023114189003911483
ratio,0.002498837876195221,0.10557593926544967,0.13325822558325348,0.04422459222762025,0.11784884286345612,0.025953740171524724,0.07614935053705972,0.06961335124132106,0.03041688237219709,0.042324718923476314,0.4228357721698005,0.05300648715593501,0.25431753909013377,0.04490287054928189,0.1380641728559934,0.10712647812736187,0.9432554085453012,0.1259334716092566,0.0962216080381506,0.09038964052372728,0.07469555143998509,0.05708534568523204,2.6457513110645907,0.2100204773146462,0.11299605160399853,0.07448704826201068,0.13198721279739958,0.029221735582880125,0.1518411214374063,0.6880709798123025,0.5810724585051696,0.2162997707948568,1.0657278761875293,0.08724559094606672,0.2892536239333364,0.04928784715412619,1.7149476206772531,0.06303446803142444,0.5053702199938033,0.286763863468737,2.6457513110645907,0.4881270433420177,0.1258799696236427,0.10027552223267476,0.12611210446486762,0.4516702343251174,0.1338443981343667,0.07229818232858269,0.6706804058273411,0.09786912965820548
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
