,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,24.138257575757574,0.045439192224470265,0.03454144092401015,0.06599305027766872,0.010184459432797223,0.0569922210370573,0.2344466672378251,0.04690020447906183,0.21028276186533573,0.06280113864727542,0.015606273401517122,0.10224910937753312,0.007274120342361657,0.07646798772898232,0.010586387529304192,0.03350682041530933,9.881422924901187e-05,0.0018711326212783308,0.07722446831167709,0.04404130141417225,0.053416729117215817,0.050944503932288665,0.03421567873399671,0.00023826864952281626,0.008037087022900393,0.033607679465168544,0.07937586359550021,0.05043224568477708,0.05557046269448362,0.02637227823605376,0.001952171713662456,0.003995676015949965,0.02214018816124811,0.00030915435567758354,0.04401637564661714,0.003132462577441141,0.05021764762768696,0.0004171374820788462,0.06046797547555322,0.0037482593070158523,0.015189138070436843,0.0013567047317766395,0.018644952839957558,0.06438984800501645,0.02068117771662303,0.0004916872953893598,0.02414992837341816,0.060070468779143585,0.000359487142820605,0.04472983702958864
std,3.3029904475285186,0.005081566025924985,0.006216443146784036,0.0062527204194393745,0.0035289073824294813,0.009694964807408892,0.014302461443954015,0.0059252446056146536,0.008348720306766403,0.005351353137720458,0.004582855667128073,0.008419893815688546,0.00225275535009328,0.0065463759265128535,0.002681722458274336,0.0053026338250675925,0.0003277297223671344,0.0008376129472160229,0.0060400673491956425,0.005736417425113891,0.006847719851080933,0.006461484530630373,0.004668515153436725,0.0004179190349150717,0.003287958594104353,0.006970472404988296,0.007440631162313775,0.00808601402352086,0.008362248270488093,0.006204983692536381,0.0005903540946323758,0.002101998229477076,0.004591391952544597,0.00043098752002654036,0.0064962496040090675,0.0016731196216582668,0.007849923066813359,0.0006550621615736231,0.005065681832582985,0.002647671739859877,0.00473200669611949,0.0008119365212296957,0.004584833946448071,0.008297175039503904,0.005139136502574641,0.000484982703066766,0.004619907769590113,0.008560171062269273,0.0006539709605169096,0.005078566868933384
ratio,0.002850756761303547,0.11183222626014072,0.1799705797004813,0.0947481650436034,0.3464992330437557,0.17011031735550478,0.0610051813167617,0.12633728725553692,0.0397023523597854,0.08521108459157882,0.2936547085406413,0.08234686704800406,0.3096945395547151,0.08560936570888335,0.25331799453317355,0.1582553569495006,3.3166247903554,0.4476502294336453,0.07821442453728525,0.13025086091729213,0.12819429351532427,0.12683379033817774,0.13644373942516844,1.7539824721046753,0.4090982945357991,0.20740713181975529,0.0937392152384164,0.16033420510484256,0.15048009077164295,0.2352843253433257,0.3024088969739329,0.5260682350336476,0.2073781812108036,1.3940852267209085,0.1475871084017417,0.5341227804946395,0.1563180164274638,1.5703747318727042,0.0837746227278769,0.7063736852207806,0.3115388558702723,0.5984622167318927,0.2459021476644565,0.12885843493305796,0.2484934162353785,0.9863641131559348,0.19130109614218355,0.14250215182674514,1.819177607815757,0.11353868482851677
count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
