,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,15.964285714285714,0.06283580775899911,0.02530212292732476,0.06007583492034201,0.01310040761490365,0.045649892766569285,0.23333036466864795,0.046357937773534544,0.2021589781523183,0.05092954349705027,0.00915448884164584,0.1105836513611066,0.010168853215700444,0.09281945433299006,0.008503633875771105,0.03374539574534472,0.00018528812303131369,0.003023233294353573,0.07166630533337613,0.06090468199414398,0.05025261249725629,0.0507323302796393,0.039413235710287764,0.009213231204444058,0.03306271342966489,0.06979420018163679,0.05197578892459328,0.00020554984583761565,0.045985483365228515,0.01575492254414677,0.0019785317362511785,0.0022371072178141217,0.02120481617041944,0.00020554984583761565,0.05632324636484836,0.005377669478078892,0.04302653428015145,0.0003718561821090275,0.04857349138755724,0.0033384728418184113,0.008372444643684371,0.002683326033800849,0.016557028156431196,0.08578484307993506,0.019024713893440542,0.00037423243976404837,0.02155803971565504,0.05554314035560382,0.0007550001913504736,0.06229134963669281
std,2.231622293796447,0.007950666091445208,0.005659097416346583,0.007421089788755389,0.003166668686988374,0.0057892676421130405,0.011126795443438716,0.0044091451481853726,0.014663847610557043,0.003018633892127339,0.004496386885354537,0.014100250237170297,0.00482908941301624,0.012682636300172712,0.0009087955988322626,0.004306722797901346,0.0004902262944347953,0.0018982107848439238,0.011603782833245958,0.00904060188729925,0.005316329220284689,0.004945135490819564,0.005868020903438453,0.004193970029476919,0.008339632047338995,0.005594874849197972,0.005633135614010789,0.000543833774113996,0.005675872625210443,0.00492084621662175,0.0018781002231666112,0.000947422993754266,0.00570318395412225,0.000543833774113996,0.007564399119855508,0.003890796530471515,0.0058226983734903145,0.0006399972854861147,0.0025750121553748174,0.002654959361830689,0.0020839613704781304,0.0015123364800538118,0.007205090277660016,0.007652067759224597,0.004937353016570779,0.000641758500599138,0.0042602688077496564,0.009098560989684666,0.0007278107849353848,0.008119999651242705
ratio,0.0029122587726650123,0.12653081698160462,0.2236609723461228,0.12352869999385672,0.2417229127577542,0.12681886618477856,0.047686872899032486,0.0951108992320734,0.07253621750852167,0.05927078243499614,0.4911674439865453,0.12750754802919714,0.4748902664422624,0.13663769509647966,0.10687144015238467,0.12762401218825453,2.6457513110645903,0.6278743980456853,0.1619140651840174,0.14843853692838446,0.10579209629300272,0.09747503147522917,0.14888452565965712,0.4552116338352534,0.25223677013322265,0.08016246098726712,0.10837999250349753,2.6457513110645903,0.12342748645547999,0.31233706181881105,0.9492393721847192,0.423503614940724,0.2689570099682424,2.6457513110645903,0.13430332248349394,0.7235097929189682,0.13532808233119487,1.7210881955929636,0.05301270470408148,0.7952616323769691,0.2489071542623021,0.5636051903508847,0.4351680875085885,0.08920069658569328,0.2595231152607824,1.7148660362093768,0.19761856198158545,0.16381070518218727,0.963987550299219,0.13035517288679208
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
