,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,20.5625,0.04841674273950409,0.028800860820292814,0.06039908667409472,0.01055864550928748,0.05342682020193856,0.25109647520470296,0.04606673124211374,0.17921479881064795,0.06778988201391811,0.004848371595817494,0.10479138593242217,0.011928020718421336,0.08500674193596737,0.008533213631073568,0.03437266578567656,0.0007172424930541593,0.05849749516482061,0.04776026605215096,0.04655718338914474,0.05191194513166023,0.05007041486755083,0.00029069767441860465,0.006730992288064661,0.03445215796677438,0.08150724616767438,0.06322766324703458,0.05384072982113736,0.031694009181531334,0.00048758763492449736,0.002411340589335456,0.0126310238150373,0.0005483534406255247,0.052996713842335515,0.010401131341190532,0.05406135285482378,0.00029069767441860465,0.06308873244664925,0.004761008204829436,0.015477587900486938,0.0018005410096307614,0.0127435579043468,0.056298544247534325,0.020086533950844525,0.001157749697539992,0.02192680389984885,0.05492955648771576,0.0003971405877680699,0.04334011960834716
std,3.907310041353164,0.007464325928768548,0.005546299718737583,0.008801301374903352,0.004527702042673517,0.005445444784193386,0.019205499872057198,0.007724633800710117,0.0128021099436999,0.00478636539760301,0.002880553561885746,0.00514048681209604,0.0047465012798929744,0.014476088810669618,0.002531101042012281,0.005905324033969087,0.0009793652729382877,0.010034851278167634,0.008229435493694058,0.009776671159882806,0.011153488642243312,0.0036929061876357157,0.0005813953488372093,0.0009468546328380939,0.005487986990899777,0.01048698966148978,0.003211438240214587,0.00602218322116589,0.008915942180081838,0.0005820687684571287,0.0014990864568694864,0.0035572643059772727,0.0006350364273378532,0.0021900449232830905,0.004816174420493188,0.00847674909169032,0.0005813953488372093,0.003772958700398739,0.0033004682484956394,0.003882461350776633,0.00167780639662361,0.003215276877688957,0.01041674082885296,0.002463124397484595,0.0016349324278355402,0.001563801454186544,0.008288710726930174,0.0007942811755361397,0.005938028525111067
ratio,0.0039587741047144515,0.15416827953356455,0.19257409538362524,0.1457191136414691,0.4288146655450181,0.10192343028484788,0.0764865371224354,0.1676835666961396,0.07143444642217386,0.07060589656462757,0.5941280499973827,0.04905447872796564,0.3979286582360305,0.17029342003924766,0.29661756419589863,0.17180291080099744,1.3654590775400908,0.1715432643721542,0.17230715349675976,0.20999275403250303,0.21485399196573327,0.07375425582960328,2.0,0.14067088362544233,0.15929298234938968,0.12866328031640578,0.05079166420665097,0.11185181258077297,0.2813131695966478,1.1937726200691323,0.6216817580641404,0.281629134587042,1.1580786775285778,0.041324164547229175,0.46304332312584,0.15679868601242294,2.0,0.059804002300875625,0.6932288512226749,0.2508440834410954,0.9318345917417784,0.25230605940843515,0.18502682383850766,0.12262565575087855,1.4121639861443929,0.07131916996791876,0.15089709906512405,2.0,0.13700997087159453
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
