,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,26.875,0.03905138339920949,0.03469443599878383,0.07359379750684099,0.010717543326238978,0.0683399209486166,0.2337214958954089,0.05961690483429614,0.18223168136211612,0.04578899361508057,0.010717543326238978,0.10325022803283672,0.008808148373365765,0.08753420492550927,0.011945880206749773,0.03279416235937975,0.0004347826086956522,0.001219215567041654,0.08770446944359987,0.03634843417452113,0.05387959866220736,0.06502280328367285,0.045421100638491946,0.00034965034965034965,0.006710246275463667,0.0374247491638796,0.05494679233809669,0.05543934326543022,0.0666859227728793,0.02483733657646701,0.001048951048951049,0.003137731833384007,0.014299179081787775,0.001219215567041654,0.04777439951352995,0.004885983581635756,0.06269686834904226,0.04352082699908787,0.003742778960170265,0.007494679233809668,0.0019185162663423532,0.02536637275767711,0.05483429613864396,0.01804195804195804,0.0004347826086956522,0.02337184554575859,0.06712982669504408,0.0004347826086956522,0.037482517482517484
std,4.124789556921527,0.0038010483099355954,0.0025841968713476164,0.0056972726364984865,0.0032893687297519537,0.006651834542387294,0.010108896579930514,0.009150034845636805,0.009304828668213371,0.009416624206740887,0.0032893687297519537,0.013204773031461772,0.0013888445747841586,0.0008169673969318578,0.0009072637934348529,0.0070259196136139785,0.0006148754619013457,0.0007352706572386721,0.0014017440599988708,0.003934342990487634,4.729811245394728e-05,0.008883445484532727,0.0009416624206740882,0.0004944802665640194,0.0015780370245999575,0.012344807350480866,0.011299949048089071,0.005219991683554082,0.005301688423247263,0.005456482245823829,0.0014834407996920575,0.00048158078134930585,0.0005460782074228729,0.0007352706572386721,0.0013028480066860698,0.001990820551470791,0.006273449642755687,0.008668454064287503,0.0033151677001813807,0.0016984322199372832,0.0002536898758893664,0.0022488102557650623,0.002386404764722005,0.002769089492758509,0.0006148754619013457,0.003538758777236415,0.0009846607047231386,0.0006148754619013457,0.0035602579192609376
ratio,0.0031975112844352927,0.09733453668154914,0.07448447559251871,0.07741511960935146,0.30691443268522484,0.09733453668154918,0.043251890636769985,0.15348054165289401,0.05106043361210921,0.2056525698271632,0.30691443268522484,0.12789098177354388,0.15767724564946833,0.009333121807950262,0.07594783956750398,0.2142429965619912,1.4142135623730951,0.6030686263486266,0.01598258411334773,0.108239682941981,0.0008778482696294375,0.1366204629132523,0.02073182744224564,1.4142135623730951,0.23516827249249025,0.32985678264466306,0.20565256982716332,0.09415680951633967,0.07950236275958714,0.21968870249130334,1.4142135623730951,0.15348054165289407,0.03818947957078096,0.6030686263486266,0.027270840030487388,0.4074554320962931,0.10006001588198174,0.19917944262569232,0.8857503302921659,0.2266184004614087,0.13223232992078066,0.08865320545620625,0.04352029537660478,0.15348054165289413,1.4142135623730951,0.1514111827543979,0.014668006059307046,1.4142135623730951,0.09498449299520784
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
