,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9986338338333686,0.8499221944186293,-0.6375444760109401,-0.4211809281994494,0.3091936268137822,-0.8014873035469107,0.9969617153323953,0.8195056066619452,-0.9487215144249714,0.4964502159259452,-0.9214349530787536,-0.9166100789330869,-0.9999361096470857,0.023548807079884163,0.926271649045849,-0.7317514792300707,0.7715510688112097,0.9289825089287869,-0.9995251731579609,0.8501687042012216,0.9997041383091989,-0.050654073179887495,-0.7137092763427542,-0.9990765352376257,0.9505335259127611,-0.5977416468111157,-0.3484254694478394,-0.7514342051949139,-0.938193544871935,-0.9285843503199629,0.8098823174888283,0.6561450737397574,-0.9995251731579609,0.9977030151718547,0.5931190294581931,-0.7375282964765376,-0.6375444760109401,0.7682417252197676,-0.7841898342541159,-0.7255046993196721,-0.9814269145252078,0.6347966382030497,-0.7905556183658378,0.6337629101884775,-0.6375444760109401,-0.8816381204771904,0.27927971441098204,-0.6375444760109401,-0.9912832816644175
PUNCT,-0.9986338338333686,1.0,-0.8212280713579401,0.5964164021468442,0.37321249435629633,-0.3584645914779798,0.7691439140815952,-0.9915294837453517,-0.8483312064876757,0.9309072737271425,-0.4504122249382971,0.8998737885005602,0.9362480106907817,0.9991606996380274,0.02872273426868883,-0.9446984157208694,0.7663665295242248,-0.7372547998731873,-0.9083729762136923,0.9965495682913512,-0.8765194320696402,-0.9996093765435512,-0.0016019086159486677,0.7493350320814132,0.9999567697874093,-0.9654661368786437,0.6388163667369167,0.39692891233490424,0.7159301045856901,0.9188261771012755,0.9467082763730711,-0.8394276004988773,-0.6158160904281657,0.9965495682913513,-0.9998796581377098,-0.6343790858580155,0.7012328302309079,0.5964164021468442,-0.7337413552145579,0.8155431180037039,0.6885515332334998,0.9700619288562983,-0.5935539267146998,0.7574758335852072,-0.5924772941846139,0.5964164021468442,0.9050936157680938,-0.32907284021228744,0.5964164021468442,0.9830446982548761
AUX,0.8499221944186293,-0.8212280713579401,1.0,-0.9478004269559863,-0.8358644581359499,-0.2382987127810457,-0.9962991711655953,0.8883824134619666,0.39456010066435043,-0.9729020563408226,0.8793347364773106,-0.9878690659220153,-0.5683986230420925,-0.8439118105474261,0.5467767476096654,0.5886900407485708,-0.26280617850021837,0.9909601992914047,0.9845840301076616,-0.8657541422954117,0.44515461092222125,0.8368544485085572,-0.5692838186471944,-0.2375286851432782,-0.8264981855680208,0.6442102668466191,-0.08561748305138656,0.1977557531016577,-0.9863188772416132,-0.9797602810334776,-0.5936775279033714,0.3792566094412622,0.9552955201241721,-0.8657541422954119,0.8122772285518709,0.07988343562726426,-0.9826713357343221,-0.9478004269559863,0.9902511820745489,-0.33954273763158305,-0.9792498466054435,-0.935216701019415,0.9466587951147,-0.9945842156589144,0.9462270802159299,-0.9478004269559863,-0.5006620794847686,-0.2685763955496762,-0.9478004269559864,-0.9119326051049913
X,-0.6375444760109401,0.5964164021468442,-0.9478004269559863,1.0,0.9672686690711886,0.5355379110287076,0.9717001910627593,-0.6956173497500338,-0.08096948047704293,0.8483899722174623,-0.9852782831764659,0.8867865903616176,0.2763819176680826,0.6287951175036547,-0.7852133192509991,-0.30020400755868376,-0.0585678424864599,-0.9820101005492636,-0.8774159238286681,0.6609803462215714,-0.1363896332999528,-0.618616646390278,0.8017187646491257,-0.0846086430013667,0.6038541412288773,-0.36670001371273037,-0.23654502697636817,-0.5,0.9873977739448713,0.864788770325154,0.30609685584594165,-0.06441727109964365,-0.9997025239652564,0.6609803462215715,-0.5838923120934564,0.2421315803702363,0.9904798675948217,1.0,-0.98297610292135,0.02189811398176016,0.9927533804251141,0.773496684508992,-0.9999936579930234,0.9758081126505646,-0.9999880019858765,1.0,0.19850526635353558,0.5617053959191382,0.9999999999999999,0.7334873910975387
ADV,-0.4211809281994494,0.37321249435629633,-0.8358644581359499,0.9672686690711886,1.0,0.7323075159081828,0.8799538914597285,-0.4905485010146678,0.17460202809394287,0.6862905997539297,-0.9964102168895055,0.7404808746070783,0.02346539062058886,0.41090170699406786,-0.9166434333918517,-0.048327897999709477,-0.30996970377624955,-0.9019515573337896,-0.7269631976163315,0.4489274238203801,0.11945776643897955,-0.3989954110203892,0.9271468460698863,-0.33468384386856637,0.3818228285505695,-0.11861971054248076,-0.4753556278783407,-0.7033921361603342,0.9149202253800903,0.7090638828914454,0.05450356493059466,0.19091860864458854,-0.9607919030767627,0.4489274238203803,-0.35877497867521513,0.48040987917544975,0.9231288987231633,0.9672686690711886,-0.9041788056088877,-0.23251224388157407,0.9297656775292932,0.587349449082111,-0.9681662701358837,0.8883905975425863,-0.9685000950259991,0.9672686690711886,-0.0566967680595579,0.7532605599452485,0.9672686690711886,0.537001695655792
PART,0.3091936268137822,-0.3584645914779798,-0.2382987127810457,0.5355379110287076,0.7323075159081828,1.0,0.3208939129311306,0.23417792090129114,0.7983760771777481,0.007284623963871197,-0.6720299824804957,0.08459239682229971,-0.6636026950566981,-0.31992380671031523,-0.9434542426417841,0.6447874988271055,-0.8744268254856599,-0.36643594651596934,-0.06475176601166308,-0.2797438745882148,0.7635776408733401,0.3322338375019043,0.93411635312445,-0.8867941259042855,-0.34976872038692236,0.5893001363541771,-0.9472232354390215,-0.9991370976891796,0.39513817911732785,0.039067853060572845,-0.6400484968341799,0.8082592898318552,-0.5147811210184825,-0.27974387458821465,0.37290399438330163,0.9490520651809546,0.4141860836556003,0.5355379110287076,-0.371256013698982,-0.8325814099002653,0.43017252490153696,-0.12101468455223188,-0.5385422046594175,0.3379478187984006,-0.5396683738618709,0.5355379110287076,-0.7213981680978602,0.9995101605784188,0.5355379110287076,-0.18120653150893057
CCONJ,-0.8014873035469107,0.7691439140815952,-0.9962991711655953,0.9717001910627593,0.8799538914597285,0.3208939129311306,1.0,-0.8456331612338129,-0.31412002487717655,0.9494276058115674,-0.9170117670471222,0.9708655273369139,0.49557675461260653,0.7946762712621546,-0.6167200253419143,-0.5170303274104247,0.17890169884818735,-0.9988239860563861,-0.9659059782849124,0.8195331494988793,-0.36654001025469757,-0.7867043950798428,0.6378426950017032,0.15315631707994368,0.7750529865615143,-0.5760849444159353,-0.0003370113199353225,-0.2812796821856374,0.996837956155142,0.9589287150034375,0.5223135852334558,-0.29832122916059556,-0.9771724387176647,0.8195331494988797,-0.7591370428067253,0.006090762939518232,0.994966634487936,0.9717001910627593,-0.9985591357296936,0.25743932477822645,0.9930448129200377,0.9013216515428223,-0.9708527499018788,0.9998368791361325,-0.9705314068072898,0.9717001910627593,0.4244043998273866,0.35037763117320325,0.9717001910627592,0.873287640333272
NOUN,0.9969617153323953,-0.9915294837453517,0.8883824134619666,-0.6956173497500338,-0.4905485010146678,0.23417792090129114,-0.8456331612338129,1.0,0.7723774142178905,-0.9704620635790697,0.5625581653648882,-0.9488993924788476,-0.8826848584848527,-0.9960175283322463,0.10134877855050706,0.8941028423817532,-0.6764384756109123,0.8187599399592104,0.9549900796293284,-0.9988884357497592,0.8065741138232296,0.994772114130342,-0.12829329716690913,-0.6569812074639385,-0.9926943008991989,0.9234502190682364,-0.5334794959429484,-0.2743547900158867,-0.8005456402349906,-0.9623027169116745,-0.8968552418041066,0.7617301529797407,0.7129323753217566,-0.9988884357497592,0.9893952375382595,0.5286040623556647,-0.7878899638619125,-0.6956173497500338,0.8157716373547726,-0.7334729259926679,-0.776907795497086,-0.9933877973638487,0.6930543431811473,-0.8358546723971384,0.6920898174704527,-0.6956173497500338,-0.8421996580959925,0.20363744661473757,-0.6956173497500338,-0.9985337200050817
SCONJ,0.8195056066619452,-0.8483312064876757,0.39456010066435043,-0.08096948047704293,0.17460202809394287,0.7983760771777481,-0.31412002487717655,0.7723774142178905,1.0,-0.5963273011639686,-0.09061939770093407,-0.5324642464211182,-0.9802708617202457,-0.8259311484888796,-0.5536138667133149,0.9750504113862597,-0.9902634402415498,0.2677212390670046,0.5491991971766513,-0.8014585601048687,0.9984459335959172,0.8332022804800947,0.5308241931883514,-0.9862918968136312,-0.843371395015188,0.9569760554213297,-0.9492773628324791,-0.8226971394504918,-0.2376875879977944,-0.5705085962470875,-0.973659062901222,0.9998622843979917,0.10525513727237862,-0.8014585601048685,0.8564429958930093,0.9474524381587662,-0.2174043144811861,-0.08096948047704293,0.2627212416946346,-0.9982506549994936,-0.2001577288459421,-0.6943489390861923,0.07741920403509017,-0.29692156924540386,0.07608603361604074,-0.08096948047704293,-0.9929546111603857,0.7791398352928167,-0.08096948047704292,-0.7368614012259381
VERB,-0.9487215144249714,0.9309072737271425,-0.9729020563408226,0.8483899722174623,0.6862905997539297,0.007284623963871197,0.9494276058115674,-0.9704620635790697,-0.5963273011639686,1.0,-0.7453997751563801,0.9970054250599469,0.7432312525560367,0.9450876108839211,-0.3383666918779767,-0.7596445630827877,0.47877468143472557,-0.9330879403107357,-0.9983466170669248,0.9580113633648007,-0.6401365171871596,-0.9407518264739672,0.363763895295215,0.4556924412836248,0.9342632898884101,-0.8035999302748398,0.3136660352223074,0.03425440180736186,0.921475754530888,0.999494641658302,0.763651612579374,-0.5829232436062398,-0.8610488811496889,0.9580113633648009,-0.9251288473863503,-0.30819745834297874,0.9131852654447068,0.8483899722174623,-0.9312103681641354,0.547822956009807,0.9058563892331337,0.9917428323856105,-0.8464992571455281,0.943601698990383,-0.8457866342304644,0.8483899722174623,0.6872470397986201,0.03857621385325338,0.8483899722174625,0.9820989480969903
