,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,15.932291666666666,0.06412235448021153,0.027487476184123196,0.0006698125095216178,0.07162836725426606,0.01588816066785314,0.0501968467857974,0.17825926465343578,0.05542465035474738,0.1879581027872846,0.06554957694898039,0.008022336811161344,0.14376242816557916,0.01293818095619763,0.0629557060057807,0.01174934246138258,0.042860959731319634,0.0022611307665650828,0.058864983598494236,0.06772759359061897,0.04996992619952685,0.05900025798146712,0.05880133256871613,0.00030599755201958376,0.00939264613131777,0.033736544768078545,0.062057625929899024,0.04664026004921881,0.051345067017980695,0.017992791055783542,0.0016219424474572398,0.0011381760592374672,0.009868466829130113,0.00016711229946524066,0.031397294387025466,0.005252637129667439,0.042210907552080165,0.00016711229946524066,0.06276090269848925,0.0016570694088885035,0.00813067691860937,0.0022859035786359392,0.017452667698399954,0.07077355267652544,0.027475876816325004,0.00015299877600979188,0.017936340007297387,0.0635380865953579,0.0009270202522878996,0.06237879616725664
std,1.248895841698858,0.005838190433602436,0.006973362035832124,0.0010130045175446923,0.009561543980457759,0.006130137552791747,0.010246978162893454,0.009583441060609307,0.007936489768539952,0.008929113269107516,0.008923191740506844,0.0029854611475701506,0.009927050625025493,0.0055558101985751715,0.006790149364469534,0.002848457575145125,0.0068318048844502295,0.001627546992250559,0.004763747044111964,0.005988298802992911,0.008069815048705029,0.009266300758954056,0.006700288335053822,0.0008654917762381243,0.002744899497765737,0.005071796161198361,0.007358611316858494,0.008922134899419471,0.0102596263863001,0.004636836960541743,0.0009125029959057928,0.0007760132365322097,0.0034777900691540433,0.00047266496068619485,0.004974801679881621,0.002587207435968255,0.010652740751057087,0.00047266496068619485,0.01018510348441582,0.0015624298188625005,0.0028887261364569077,0.002215489379063996,0.0053117650080314405,0.007656995610563141,0.006175614583100259,0.00043274588811906213,0.0034959279326487232,0.009035366816440113,0.0010670514013504963,0.006586859816984436
ratio,0.0016330772693022005,0.09104766162952002,0.25369233570668626,1.512370257563842,0.1334882302498427,0.3858305363939948,0.20413589336836024,0.05376125094670976,0.14319422346811708,0.04750587038651239,0.13612889900803002,0.37214358083501664,0.06905177348279036,0.4294120029225465,0.10785597994637773,0.2424354881566656,0.1593945848920889,0.7197933955509302,0.08092666901267632,0.08841741579051697,0.16149343540118016,0.15705525833234052,0.1139478995178173,2.82842712474619,0.2922392113350738,0.1503353765498026,0.11857706779132772,0.19129685147561493,0.19981717781587952,0.2577052635228204,0.5625988747851978,0.6818042166974656,0.3524144256013681,2.82842712474619,0.15844682725073891,0.4925540013711283,0.2523693843330341,2.82842712474619,0.16228420953959596,0.9428873712118772,0.3552872860862588,0.969196338712606,0.30435261243863704,0.10819006989178397,0.22476496835329274,2.82842712474619,0.19490754140624048,0.14220394885325738,1.1510551131078286,0.10559453246457423
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
