,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,17.339583333333334,0.0574055503133851,0.03434292753452545,0.08636548541882623,0.015417334756435147,0.057796942670138476,0.2200576614533072,0.04802045178462788,0.1891514642155512,0.05291185387758557,0.01325964973938557,0.11250019547868773,0.009122329633053898,0.07111659936422908,0.01642925251574736,0.030937673100775793,0.0020337104673997857,0.0001331557922769641,0.07092819943705866,0.05572343487060154,0.0490055623459903,0.0510990380029263,0.03585107159649123,0.00025894195579897664,0.008924776794731495,0.032700615856677585,0.06883190296531431,0.050577108453226514,0.00027029483404224377,0.0585010192414908,0.023179033989816262,0.0016351625764982902,0.002450981562564454,0.017401550620398464,0.0006242922562296067,0.035467486562841787,0.005266771072570921,0.05484217844718287,0.00034553918714211074,0.05013922660787694,0.002611560867628434,0.011008389444225657,0.0023524035926171943,0.021716080433493136,0.06501739190910427,0.017577227637885287,0.0007217543254678863,0.02682714002078416,0.07765149689881752,0.0013745355642974786,0.04958403819200742
std,1.7489263130437458,0.005303161847095726,0.00631868635709794,0.008963608164422987,0.007265401427397846,0.006977732949427857,0.010168600487141936,0.006888388763907522,0.010378973261910585,0.005490916752002603,0.006449639491226588,0.01226745688171322,0.004861092180670151,0.008904776634492968,0.002929506297205618,0.008036933940539394,0.0010902683413316057,0.0004210755872394647,0.010492868218658205,0.005179076558353057,0.005375115864256665,0.006681218621970336,0.005931521207807007,0.0005461738663261867,0.0033941479187076817,0.007756995506429855,0.005243699724837083,0.0049175542951224935,0.000571537741128837,0.006911916184416287,0.007035570605156782,0.0016423725100664414,0.0015209953368180511,0.004189799786925789,0.001084023655027844,0.006121438716783667,0.0034484947226778857,0.0073756159721328485,0.0005612627677221343,0.005973573514280847,0.0013942637336690751,0.0035432904310700396,0.0013556086378416039,0.005603593080067235,0.0122282285785724,0.004074520063933251,0.0008129482838667207,0.004262214968200481,0.014446536931835587,0.0011144143910520766,0.004119536708092675
ratio,0.002101317208991645,0.09238064643828003,0.18398799434747293,0.10378692507723776,0.4712488599474232,0.12072840927333325,0.04620880009351347,0.14344697952451596,0.054871228752863516,0.1037747942966832,0.4864110001389413,0.10904387169742466,0.5328783738592874,0.1252137576051194,0.17831038231335844,0.2597782294214577,0.5360981117069115,3.162277660168379,0.14793648086286926,0.09294252176628516,0.109683791123692,0.13075037971532308,0.16544892366306646,2.1092521088015403,0.3803061966447526,0.2372125204133073,0.07618124007815796,0.09722885403127043,2.1144974640525787,0.11815035488328952,0.3035316574559522,1.0044093068614568,0.6205658010852758,0.24077163456999165,1.736404134779391,0.17259296640424793,0.6547644989996763,0.13448801964050572,1.6243100308368281,0.11913972189874968,0.533881385248053,0.32187182775666057,0.5762653322312801,0.2580388803232053,0.1880762703565183,0.2318067529119999,1.1263504147892938,0.1588769792418557,0.1860432510484621,0.8107570440504759,0.08308191221014173
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
