,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,18.5,0.053183255483801324,0.03534089532440916,0.08602014924067784,0.013549049497105769,0.06319949110877407,0.20777097230619224,0.04999499885836811,0.18037562616115307,0.06129112620215892,0.011673539016350487,0.12315291280118068,0.00462161369356075,0.06772179600067915,0.011995370911925648,0.03233331380290518,0.0006748854324696683,0.07460484556638602,0.05109899876144287,0.05024302173926861,0.0544480262070768,0.04600797659436392,0.008943229595201845,0.027006833206057783,0.06322874264887406,0.042562260564081536,0.06319733030539823,0.03242575345916458,0.001888683041679355,0.002795416448462836,0.014288054790523388,0.0006537968168203492,0.033770458129266184,0.002892824134286199,0.05259576351153727,0.0003501684368077848,0.05739663352312509,0.0021318219519219747,0.009407359151932587,0.002708668619787103,0.02430763871420717,0.06022006816172613,0.016772701636758803,0.0003338014695406158,0.028425115954133037,0.07977636688550979,0.0007508996806453468,0.04976317014671222
std,1.4494770768440237,0.004234459799640005,0.0027546309870044388,0.0017605409695261496,0.005011852271869314,0.010014688807047957,0.013707379239760384,0.010654569774025369,0.01723832133103836,0.006129889995342031,0.005148531716791422,0.007812975829173036,0.0026110217066590453,0.014724016194248256,0.003851923081142426,0.0064027492425323615,0.000634771927494075,0.008124071927791026,0.00393248694224864,0.00993027937938311,0.00933390584955519,0.006257553889211249,0.0050116698718326285,0.005405262550823193,0.005164670201907354,0.009189686208921794,0.008395023562101313,0.006078471917275927,0.0013536473537288825,0.002229536878592313,0.003515458497020843,0.000938368018045034,0.01088570809887664,0.0010951741626062234,0.006494579878131464,0.0005983166420730191,0.005156302446486335,0.0010821567841834171,0.0018348962019947707,0.002469214439645877,0.0025567144374787185,0.008840285904578794,0.005360073215741911,0.0005724145640963773,0.009053495205100359,0.0036541259985901045,0.0011631392489604936,0.0035305538597990727
ratio,0.0016322940054549816,0.0796201691889611,0.07794457275964586,0.020466611428449046,0.36990434442946746,0.15846154187873834,0.0659735048048955,0.21311271161759449,0.09556901726643002,0.10001268332260002,0.4410429184825746,0.06344125893137732,0.5649588822832504,0.21741916286597884,0.32111746351360354,0.198023292062228,0.9405624969132872,0.10889469532594824,0.07695819952573958,0.1976449472110844,0.17142780922960305,0.13601019545766796,0.5603870300413009,0.20014425643991324,0.0816823170213606,0.2159116101243224,0.13283826265338652,0.1874581549795245,0.7167149404408606,0.7975687772096738,0.2460417844528764,1.4352593862549798,0.3223441049336213,0.3785830426488945,0.12348104570640618,1.70865383393035,0.08983632192311176,0.5076206215100578,0.1950490219795448,0.9115970929806664,0.10518152205316376,0.1467996661982755,0.3195712492729767,1.7148353627206778,0.31850336933397705,0.045804617849222004,1.5489941984804885,0.0709471251407469
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
