,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
mean,22.302083333333332,0.0443145931406342,0.04507132363031298,0.07332319225316973,0.023865970465254287,0.057925179173094275,0.17791002916489068,0.06205035532885771,0.21029785743095653,0.061712550495072925,0.011870573865895923,0.1142805197723358,0.002774753998680322,0.06998847518526681,0.007040637103463297,0.024470920882985882,0.000225022502250225,0.0014761648234411806,0.0807529141237557,0.043467680091120287,0.05971778423606554,0.06949924386101076,0.045726086328813566,0.0168790368022938,0.03373445284385348,0.06837904100662788,0.03091385750328266,0.00024437927663734115,0.055731945442611515,0.028851054470252338,0.0019196085158411731,0.003799743568344979,0.01782717743360314,0.0005097720579536894,0.027880320891216538,0.000945379260808484,0.047762894816938926,0.05805796007750759,0.00314403283598142,0.008035879863174994,0.001560694105038814,0.035961851485081964,0.05046689395348583,0.024848768023427958,0.0004323193513381189,0.024479594114295525,0.08395814063066223,0.041298747716833215
std,2.368320284974611,0.0027246965469124268,0.006856728628008178,0.012409363827463882,0.0032202774487126357,0.009547082913591015,0.013985586643459452,0.006595088929831103,0.002278437948691502,0.013362086398457802,0.0034511683345885783,0.010753582539718276,0.0021409855477283373,0.007823556284478176,0.0035752854026765406,0.002410156433830655,0.00045004500450045,0.0020054000991629587,0.011661163550283665,0.003540000177742508,0.006125883416537372,0.008525971063569546,0.00262046258605204,0.005505668598607225,0.002910438552396267,0.014999811524305656,0.004813639080771215,0.0004887585532746823,0.008401772278399859,0.008720620913164534,0.001981039452755802,0.002223394837158893,0.0035493184548545994,0.0005896334294323651,0.0063287939150924654,0.001107997018948301,0.008446392011951907,0.012077793423745112,0.0021452646867761178,0.002730437789605602,0.0010813121901964997,0.006152501713025771,0.01113574715310982,0.007099995293177202,0.0005000378906995941,0.005318480193616347,0.011795711606259095,0.002558148450378581
ratio,0.0022123496356605426,0.06148531113138034,0.1521306248791115,0.16924200169322864,0.13493176208363014,0.16481749473854973,0.0786104454544118,0.10628607837744213,0.010834337432275278,0.21652137679068406,0.29073306594753273,0.0940981241697277,0.7715947247022955,0.1117834938362124,0.5078070848045634,0.0984906307921737,2.0,1.3585204492869871,0.14440548278434462,0.08143982311275154,0.10258055443453223,0.12267717733189087,0.05730782571699771,0.3261838138689894,0.08627495948630919,0.21936270681028924,0.15571136925438914,2.0,0.15075325671255027,0.3022635072890028,1.0320018047470008,0.5851433911702936,0.1990959291269717,1.1566609433228898,0.2269986037745462,1.1720132489480959,0.17684003543596832,0.2080299309107866,0.6823289700492161,0.3397808125676484,0.6928405679917705,0.1710841199479957,0.2206544980432792,0.2857282617183746,1.156640083660082,0.21726178010894706,0.14049515053161152,0.06194251864290525
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
