,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
mean,36.135416666666664,0.03004397124905622,0.024245221203322127,0.05128620892662922,0.0201032093690026,0.05300215199683354,0.2594779328856381,0.04883070403890225,0.17212781597267265,0.06464405573239404,0.002884573808169605,0.10514666507013117,0.008949579412674496,0.08854901530345816,0.012618118682459064,0.02816521481718005,0.002011801058370004,0.07223275492181966,0.02945225527272485,0.05627139108135346,0.054289192452378336,0.07525020705069999,0.0002810567734682406,0.005443687198778651,0.025990766702921327,0.08665545765688458,0.06449604358541962,0.052173782891126265,0.02161210173922588,0.0028697725934721647,0.0008727727497996015,0.019334045122085083,0.0005621135469364812,0.05678910098419763,0.006360863592670572,0.05417078273479882,0.0005769147616339211,0.05971807843645955,0.0034762897845009664,0.011538295232678422,0.005976198316320252,0.012692124755946265,0.0677060778111498,0.015399250293529709,0.0014496875114335226,0.014748329458408588,0.049067357168278175,0.02974811326089053
std,1.3110938234500567,0.003536110126073002,0.001695027979953982,0.0014005677286840516,0.004162661331650555,0.0021536521732258367,0.045621112443956405,0.006256104380016088,0.017660088935588267,0.003976154159720004,0.00010466039282357725,0.027867652326455872,0.0007323875578710567,0.002805133719565859,0.003618897672755921,0.0046854929119804715,0.0003346780651414621,0.009143555262476896,0.002699297367272357,0.003264698680413661,0.0052311381060269856,0.015207272673212787,0.0003974743008356085,0.0018408469542250336,0.0025737048958840627,0.006232349998723546,0.004182652642639321,0.0001453485904830811,0.0004388680741770688,0.000711220287412355,0.00043933845796503937,0.0011091649720359343,0.000794948601671217,2.210803803463905e-05,0.0010461335444478023,0.0012959073358604731,2.093207856471548e-05,0.002574410471566023,0.0009414731516242254,0.000418641571294309,0.0042675569163681155,0.0004605057284237402,0.0020278245099435545,0.0066738051837344535,0.0004602705365297549,0.002573469703990076,0.0034109880384726827,0.003117703746672677
ratio,0.0007558915096281676,0.11769782685383458,0.069911838120154,0.027308856669201725,0.20706451667707432,0.040633296801882685,0.1758188526346222,0.1281182506611414,0.1025986929293986,0.061508426639875824,0.036282792462152,0.2650360076362725,0.08183485771787677,0.03167888101242735,0.28680168286788205,0.1663574356664392,0.16635743566643918,0.12658461209700952,0.09164993791739008,0.058017024595922576,0.09635689664412783,0.2020894462518469,1.4142135623730951,0.3381617802430029,0.09902381585360394,0.07192103264171497,0.06485130575644918,0.002785854933815851,0.020306589311511757,0.2478315839485535,0.5033824189239599,0.05736848988569634,1.4142135623730951,0.00038930072234795416,0.16446407460352236,0.023922625268399413,0.03628279246215205,0.04310939901231439,0.2708270052231498,0.036282792462152,0.7140922523795691,0.036282792462152026,0.029950405864591575,0.4333850711250912,0.3174963796677924,0.17449228478706394,0.06951644097672885,0.10480341120562706
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
