,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
mean,16.2827380952381,0.061009633881302476,0.030979990697283032,0.07078921084995099,0.018359566589468582,0.043287608780102835,0.22846445649901306,0.050476769863467545,0.19474206399452232,0.05713725139478078,0.0029982422181297607,0.11438555811893387,0.009451083380899826,0.06689426561896061,0.013865830451745829,0.03257435806869097,0.0017473852841102114,8.917424647761727e-05,0.07276093792867153,0.05955533746709352,0.047569626119997946,0.053764088327773,0.053073290651101536,7.631257631257633e-05,0.0071338720742511515,0.030327801841335607,0.07514596859994709,0.048590761491443535,0.00010146103896103897,0.043801660301345545,0.02272335073435697,0.0009206696882286172,0.0026597794950656804,0.0183235760635825,0.0004314478736215797,0.040233342719226864,0.004254116509950822,0.04299234746231529,8.025682182985555e-05,0.05391716636078064,0.0021541529638135787,0.013030700772846874,0.0031109392160646693,0.01623197551117098,0.07102453872001649,0.023951413571166657,0.0011213393997066463,0.021299686310422644,0.06752785679510158,0.00032008132004173644,0.05351339522143062
std,2.4163173140187664,0.010776722777828042,0.004249812587522002,0.009049207781573157,0.0041576888666394855,0.00803871856526318,0.016845321576512855,0.00784341215404101,0.008770722853187364,0.011080521021340752,0.0015471671576192786,0.01152673642629824,0.0023120263903224038,0.007926461115193902,0.0033460933548569373,0.0059789887592786,0.002045305579902261,0.0003336594780429767,0.010948600096248274,0.009924569289619694,0.005344231862272839,0.007691214034313605,0.006808663762937103,0.0002855355148637012,0.00398941047137447,0.004236196518386522,0.01038715486283427,0.009464847124670512,0.00037963244589833006,0.007858297239813091,0.00572702425937868,0.000930736015824553,0.002197328633958623,0.006076888901424993,0.0007542583032010106,0.007217190697977114,0.0018266291497270567,0.009068098734869412,0.00030029353023867906,0.010789890304077787,0.0016831796303162635,0.0029696768034002284,0.0017687554478323735,0.004128255983297833,0.010336226616289966,0.005493160930051031,0.0010496778674623274,0.0037257126826943,0.00887619206889979,0.0006472032297879027,0.008321292176409164
ratio,0.003091614183537079,0.17663968937749627,0.1371792725520319,0.12783314961307302,0.2264589878186133,0.18570484237415716,0.07373278905021108,0.15538657040171786,0.04503763939481542,0.19392814233890335,0.5160247388499415,0.10077090688593016,0.24463083195254576,0.11849238558569683,0.2413193617577831,0.18354893584304705,1.1704949094519552,3.741657386773941,0.15047359761883947,0.1666444975667106,0.11234546701694928,0.14305485824337028,0.1282879519888181,3.74165738677394,0.5592209153530753,0.13968030194040482,0.13822637536462049,0.19478696843096807,3.7416573867739413,0.17940637833702602,0.25203256008893105,1.0109337015486015,0.8261318797422951,0.3316431727266713,1.748202620329903,0.17938332264219586,0.4293792014051286,0.21092355430970605,3.741657386773941,0.20011975836931886,0.7813649534601602,0.2278984726276874,0.5685599508658499,0.2543286231830952,0.14553035897967695,0.2293460013843961,0.9360929150772136,0.17491866445334384,0.1314448953390101,2.0219962530256743,0.1554992379380316
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
